Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
United Arab Emirates,784.0,23.424076,53.847818,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019
Tunisia,788.0,33.886917,9.537499,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055,2019
Turkey,792.0,38.963745,35.243322,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106,2019
Turkmenistan,795.0,38.969719,59.556278,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028,2019
Uganda,800.0,1.373333,32.290275,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06,2019
Ukraine,804.0,48.379433,31.16558,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,2019
Egypt,818.0,26.820553,30.802498,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019
Burkina Faso,854.0,12.238333,-1.561593,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019
Uruguay,858.0,-32.522779,-55.765835,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019
Uzbekistan,860.0,41.377491,64.585262,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019
Yemen,887.0,15.552727,48.516388,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,2019
Zambia,894.0,-13.133897,27.849332,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019
Swaziland,748.0,-26.522503,31.465866,135,4.212,0.811,1.149,0.0,0.313,0.074,0.135,2019
Bolivia,68.0,-16.290154,-63.588653,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019
Tanzania,834.0,-6.369028,34.888822,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,2019
Venezuela,862.0,6.42375,-66.58973,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047,2019
Vietnam,704.0,14.058324,108.277199,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,2019
Laos,418.0,19.85627,102.495496,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019
Hong Kong,344.0,22.396428,114.109497,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,2019
